ID,Delay.Indicator
1,0.103887151
2,0.099103453
3,0.147173968
4,0.15070965
5,0.144177581
6,0.136634165
7,0.12800343
8,0.12992778
9,0.102149319
10,0.110195219
11,0.147173968
12,0.15070965
13,0.144177581
14,0.136634165
15,0.129521851
16,0.137340247
17,0.141807119
18,0.155847502
19,0.195430695
20,0.195581648
21,0.203069729
22,0.211659863
23,0.213789401
24,0.258371507
25,0.316685013
26,0.260983989
27,0.174083673
28,0.174643125
29,0.187962452
30,0.204044176
31,0.137340247
32,0.155847502
33,0.195581648
34,0.211659863
35,0.258371507
36,0.260983989
37,0.174643125
38,0.141807119
39,0.195430695
40,0.203069729
41,0.225812643
42,0.258371507
43,0.260983989
44,0.174643125
45,0.204044176
46,0.102149319
47,0.110195219
48,0.147173968
49,0.15070965
50,0.150199902
51,0.141193684
52,0.130508979
53,0.12800343
54,0.113459778
55,0.10963253
56,0.104731937
57,0.112213619
58,0.115507958
59,0.119394418
60,0.120228695
61,0.11266746
62,0.10963253
63,0.120228695
64,0.114775582
65,0.113459778
66,0.105705932
67,0.108559698
68,0.115507958
69,0.119394418
70,0.115897789
71,0.111389879
72,0.111389879
73,0.053635718
74,0.05779182
75,0.048376757
76,0.04762926
77,0.065439111
78,0.053097504
79,0.056432228
80,0.050158178
81,0.055312354
82,0.055312354
83,0.057313121
84,0.05779182
85,0.052033248
86,0.05620458
87,0.065439111
88,0.060556567
89,0.052754283
90,0.056432228
91,0.053635718
92,0.05779182
93,0.048376757
94,0.04762926
95,0.065439111
96,0.053097504
97,0.056432228
98,0.050158178
99,0.114775582
100,0.113459778
101,0.105705932
102,0.108559698
103,0.115507958
104,0.119394418
105,0.115897789
106,0.111389879
107,0.114775582
108,0.111477126
109,0.105705932
110,0.108559698
111,0.115507958
112,0.119394418
113,0.11266746
114,0.155314428
115,0.155775489
116,0.153471312
117,0.147005117
118,0.143883779
119,0.143883779
120,0.163852411
121,0.154067277
122,0.170775673
123,0.264460843
124,0.206557425
125,0.227574439
126,0.173920111
127,0.162341972
128,0.161272227
129,0.155314428
130,0.153471312
131,0.143883779
132,0.163852411
133,0.170775673
134,0.206557425
135,0.173920111
136,0.155775489
137,0.147005117
138,0.146064956
139,0.161395222
140,0.170775673
141,0.206557425
142,0.173920111
143,0.161272227
144,0.114775582
145,0.111477126
146,0.105705932
147,0.108559698
148,0.114219218
149,0.116725886
150,0.121013057
151,0.115897789
152,0.107954245
153,0.115988035
154,0.118924637
155,0.124714316
156,0.124171726
157,0.121809252
158,0.117445263
159,0.117380626
160,0.115988035
161,0.117445263
162,0.102323873
163,0.107954245
164,0.118842497
165,0.122403474
166,0.124171726
167,0.121809252
168,0.117398111
169,0.121758772
170,0.121758772
171,0.042424479
172,0.046977825
173,0.039216919
174,0.042092978
175,0.044191197
176,0.041486398
177,0.045421894
178,0.051911119
179,0.055312354
180,0.055312354
181,0.045614956
182,0.046977825
183,0.042590592
184,0.044353437
185,0.044191197
186,0.042601797
187,0.041811376
188,0.045421894
189,0.042424479
190,0.046977825
191,0.039216919
192,0.042092978
193,0.044191197
194,0.041486398
195,0.045421894
196,0.051911119
197,0.102323873
198,0.107954245
199,0.118842497
200,0.122403474
201,0.124171726
202,0.121809252
203,0.117398111
204,0.121758772
205,0.103441732
206,0.11210837
